CustomerID,Gender,Age,AnnualIncome,SpendingScore,VisitFrequency,AvgPurchaseValue,SatisfactionScore,ComplaintsCount,LoyaltyPoints,CustomerSegment,ChurnRisk,EstimatedMonthlySpend,ComplaintRatio,LoyaltyEfficiency,SatisfactionComplaintScore,SpendingPowerIndex
6253,0,37,31,22,3,1113.68,4.6,1,668,Budget Shopper,Medium,3341.04,0.25,167.0,2.3,682
4685,0,50,65,47,8,2224.08,6.1,0,3559,Regular Customer,Medium,17792.64,0.0,395.44444444444446,6.1,3055
1732,0,39,107,81,13,4000.16,8.1,3,10000,Premium Customer,Low,52002.08,0.21428571428571427,714.2857142857143,2.025,8667
4743,0,40,64,49,10,2636.17,7.4,0,5272,Regular Customer,Medium,26361.7,0.0,479.27272727272725,7.4,3136
4522,1,52,45,67,11,2273.39,7.0,2,5001,Regular Customer,Medium,25007.289999999997,0.16666666666666666,416.75,2.3333333333333335,3015
6341,0,22,30,26,3,1334.53,6.3,0,801,Budget Shopper,Medium,4003.59,0.0,200.25,6.3,780
577,1,24,112,92,14,4804.24,8.5,3,10000,Premium Customer,Low,67259.36,0.2,666.6666666666666,2.125,10304
5203,1,18,55,62,8,2857.24,8.0,0,4572,Regular Customer,Medium,22857.92,0.0,508.0,8.0,3410
6364,0,31,30,21,4,1325.72,5.3,1,1061,Budget Shopper,Medium,5302.88,0.2,212.2,2.65,630
440,0,44,110,77,16,4056.05,9.6,0,10000,Premium Customer,Low,64896.8,0.0,588.2352941176471,9.6,8470
2751,1,51,88,64,7,3157.88,7.5,2,4421,Potential Loyalist,Low,22105.16,0.25,552.625,2.5,5632
7488,0,36,38,28,4,1242.86,4.8,3,994,Budget Shopper,Medium,4971.44,0.6,198.8,1.2,1064
5273,0,29,58,50,7,2342.93,6.1,1,3280,Regular Customer,Medium,16400.51,0.125,410.0,3.05,2900
5654,0,39,52,64,8,2680.71,8.3,2,4289,Regular Customer,Medium,21445.68,0.2222222222222222,476.55555555555554,2.766666666666667,3328
4000,0,53,80,70,10,3372.15,8.2,1,6744,Potential Loyalist,Low,33721.5,0.09090909090909091,613.0909090909091,4.1,5600
6034,1,35,26,26,5,1108.86,4.5,2,1109,Budget Shopper,Medium,5544.299999999999,0.3333333333333333,184.83333333333334,1.5,676
583,0,38,115,85,13,4280.48,8.8,1,10000,Premium Customer,Low,55646.23999999999,0.07142857142857142,714.2857142857143,4.4,9775
9931,0,31,47,17,2,1276.34,3.0,2,511,At-Risk Customer,High,2552.68,0.6666666666666666,170.33333333333334,1.0,799
7052,0,33,23,34,4,1057.17,3.7,0,846,Budget Shopper,Medium,4228.68,0.0,169.2,3.7,782
8159,0,52,41,17,3,1234.08,3.0,3,740,At-Risk Customer,High,3702.24,0.75,185.0,0.75,697
9897,1,19,48,10,0,1095.84,2.6,2,0,At-Risk Customer,High,0.0,2.0,0.0,0.8666666666666667,480
2250,0,18,84,76,8,3530.01,8.0,1,5648,Potential Loyalist,Low,28240.08,0.1111111111111111,627.5555555555555,4.0,6384
4641,0,32,45,65,2,2470.9,7.0,1,988,Regular Customer,Medium,4941.8,0.3333333333333333,329.3333333333333,3.5,2925
9486,1,41,49,6,2,934.24,4.3,2,374,At-Risk Customer,High,1868.48,0.6666666666666666,124.66666666666667,1.4333333333333333,294
4948,0,62,62,66,6,3060.01,6.6,0,3672,Regular Customer,Medium,18360.06,0.0,524.5714285714286,6.6,4092
9921,1,39,35,25,1,1503.91,2.8,6,301,At-Risk Customer,High,1503.91,3.0,150.5,0.39999999999999997,875
1964,1,21,115,89,12,4614.08,8.3,2,10000,Premium Customer,Low,55368.96,0.15384615384615385,769.2307692307693,2.766666666666667,10235
8244,0,38,56,15,1,1526.88,3.7,1,305,At-Risk Customer,High,1526.88,0.5,152.5,1.85,840
6591,0,18,31,17,3,1074.71,4.9,0,645,Budget Shopper,Medium,3224.13,0.0,161.25,4.9,527
